title	Inclass01	Inclass02	Inclass03	Inclass04	Inclass05	Inclass06	Inclass07	Inclass08	Inclass09	Inclass10
"White"	76.73	72.45	75.93	81.74	79.73	82.51	83.27	84.69	86.48	82.83
"Asian"	3.44	1.71	2.69	2.02	1.52	2.94	3.27	2.78	5.02	3.33
"All other races"	2.70	4.13	2.65	0.90	2.76	2.00	1.84	2.07	1.32	1.94
"Hispanic or Latino"	14.18	14.82	15.64	13.01	14.53	14.13	14.65	10.85	7.14	11.55
"Not Hispanic or Latino"	85.82	85.18	84.36	86.99	85.47	85.87	85.35	89.15	92.86	88.45
"Elementary (1-8)"	8.38	10.12	9.38	6.93	5.84	3.62	3.76	2.55	1.08	3.89
"High school (9-12)"	37.13	47.06	49.11	49.95	48.60	44.98	38.20	33.80	18.57	35.03
"College"	54.49	41.83	41.26	42.42	45.03	51.09	57.73	63.59	80.28	60.82
"Never attended and other"	0.00	0.99	0.25	0.70	0.53	0.31	0.31	0.07	0.07	0.26
"At least one vehicle owned"	59.40	50.67	60.70	70.82	77.38	83.03	86.50	89.01	95.11	83.35
"Food"	70.40	56.62	68.58	62.05	81.91	86.12	97.93	115.38	168.56	113.33
"Food at home"	46.36	41.86	51.53	45.62	57.18	56.45	64.09	71.22	98.86	71.24
"Cereals and bakery products"	6.82	5.61	6.43	6.16	8.11	7.58	8.78	9.85	13.49	9.74
"Cereals and cereal products"	2.74	2.08	2.30	2.22	2.84	2.74	2.89	3.22	4.51	3.32
"Flour"	0.16	0.13	0.06	0.17	0.15	0.15	0.19	0.14	0.21	0.17
"Prepared flour mixes"	0.29	0.13	0.18	0.15	0.21	0.21	0.25	0.32	0.37	0.28
"Ready-to-eat and cooked cereals"	1.55	1.21	1.28	1.29	1.54	1.53	1.54	1.72	2.41	1.80
"Rice"	0.32	0.22	0.32	0.30	0.46	0.42	0.41	0.45	0.60	0.46
"Pasta, cornmeal and other cereal products"	0.43	0.38	0.46	0.31	0.47	0.43	0.49	0.59	0.92	0.61
"Bakery products"	4.07	3.53	4.13	3.94	5.27	4.84	5.90	6.63	8.97	6.42
"Bread"	1.26	1.22	1.31	1.22	1.56	1.51	1.67	1.85	2.41	1.82
"White bread"	0.50	0.55	0.54	0.49	0.59	0.59	0.61	0.65	0.79	0.65
"Bread, other than white"	0.76	0.66	0.76	0.72	0.97	0.91	1.06	1.20	1.62	1.17
"Cookies and crackers"	1.18	0.75	1.11	0.96	1.33	1.18	1.47	1.57	2.33	1.62
"Cookies"	0.59	0.42	0.66	0.58	0.81	0.63	0.83	0.88	1.28	0.91
"Crackers"	0.59	0.32	0.44	0.38	0.52	0.55	0.64	0.69	1.04	0.71
"Frozen and refrigerated bakery products"	0.26	0.33	0.25	0.27	0.42	0.43	0.41	0.59	0.77	0.53
"Other bakery products"	1.37	1.24	1.46	1.49	1.97	1.73	2.35	2.62	3.47	2.45
"Biscuits and rolls"	0.54	0.47	0.51	0.47	0.74	0.71	0.81	0.95	1.40	0.94
"Cakes and cupcakes"	0.36	0.31	0.37	0.45	0.58	0.46	0.82	0.75	1.03	0.72
"Bread and cracker products"	0.03	0.07	0.08	0.05	0.08	0.09	0.08	0.13	0.13	0.10
"Sweetrolls, coffee cakes, doughnuts"	0.25	0.28	0.34	0.32	0.36	0.30	0.35	0.51	0.53	0.42
"Pies, tarts, turnovers"	0.19	0.11	0.15	0.19	0.22	0.17	0.28	0.29	0.38	0.27
"Meats, poultry, fish, and eggs"	10.63	9.62	12.22	10.89	12.99	13.78	15.01	16.37	21.63	16.17
"Beef"	2.72	2.53	3.19	2.93	3.33	3.72	4.09	4.63	5.79	4.35
"Ground beef"	1.26	1.34	1.39	1.36	1.34	1.35	1.57	1.93	2.14	1.71
"Roast"	0.30	0.39	0.53	0.34	0.44	0.60	0.64	0.69	0.94	0.67
"Chuck roast"	0.07	0.02	0.15	0.09	0.10	0.21	0.21	0.17	0.25	0.18
"Round roast"	0.07	0.08	0.12	0.02	0.06	0.07	0.08	0.11	0.16	0.11
"Other roast"	0.16	0.29	0.25	0.22	0.27	0.33	0.35	0.41	0.52	0.38
"Steak"	1.00	0.48	1.03	0.99	1.17	1.44	1.66	1.61	2.21	1.60
"Round steak"	0.16	0.06	0.18	0.15	0.23	0.18	0.21	0.22	0.23	0.20
"Sirloin steak"	0.20	0.10	0.20	0.18	0.34	0.45	0.35	0.35	0.67	0.43
"Other steak"	0.64	0.32	0.65	0.66	0.60	0.81	1.10	1.04	1.31	0.96
"Other beef"	0.16	0.31	0.24	0.25	0.37	0.33	0.22	0.40	0.51	0.37
"Pork"	2.52	1.86	2.43	2.41	2.97	2.94	3.03	3.52	3.93	3.24
"Bacon"	0.55	0.44	0.52	0.44	0.53	0.61	0.60	0.67	0.73	0.62
"Pork chops"	0.50	0.34	0.52	0.67	0.58	0.51	0.46	0.60	0.61	0.56
"Ham"	0.62	0.41	0.48	0.44	0.77	0.68	0.56	0.79	0.92	0.73
"Ham, not canned"	0.62	0.40	0.48	0.43	0.75	0.67	0.55	0.77	0.89	0.71
"Canned ham"	0.00	0.01	0.00	0.01	0.01	0.01	0.01	0.03	0.03	0.02
"Sausage"	0.45	0.27	0.33	0.43	0.47	0.49	0.54	0.57	0.67	0.54
"Other pork"	0.41	0.40	0.58	0.43	0.62	0.65	0.87	0.89	1.01	0.78
"Other meats"	1.27	1.32	1.55	1.40	1.87	1.77	1.96	2.09	3.03	2.18
"Frankfurters"	0.23	0.28	0.27	0.36	0.42	0.34	0.38	0.45	0.56	0.43
"Lunch meats (cold cuts)"	0.96	0.86	1.07	0.96	1.31	1.22	1.44	1.51	2.15	1.55
"Bologna, liverwurst, salami"	0.24	0.29	0.27	0.28	0.32	0.29	0.30	0.37	0.48	0.37
"Other lunchmeats"	0.72	0.57	0.80	0.68	0.99	0.93	1.13	1.14	1.67	1.18
"Lamb, organ meats and others"	0.08	0.19	0.21	0.08	0.14	0.21	0.15	0.13	0.32	0.20
"Lamb and organ meats"	0.07	0.05	0.16	0.08	0.10	0.20	0.10	0.12	0.21	0.15
"Mutton, goat and game"	0.01	0.13	0.05	0.00	0.04	0.00	0.04	0.01	0.10	0.05
"Poultry"	2.09	1.77	2.44	1.87	2.34	2.35	2.73	2.95	4.04	2.96
"Fresh and frozen chickens"	1.70	1.34	2.07	1.51	1.89	1.89	2.24	2.33	3.04	2.32
"Fresh and frozen whole chicken"	0.48	0.30	0.53	0.38	0.47	0.43	0.61	0.62	0.77	0.59
"Fresh and frozen chicken parts"	1.21	1.04	1.54	1.14	1.42	1.46	1.64	1.71	2.27	1.73
"Other poultry"	0.39	0.43	0.37	0.36	0.45	0.46	0.49	0.62	1.00	0.64
"Fish and seafood"	1.49	1.50	1.92	1.65	1.78	2.25	2.37	2.26	3.83	2.60
"Canned fish and seafood"	0.29	0.24	0.27	0.26	0.27	0.36	0.35	0.32	0.46	0.35
"Fresh fish and shellfish"	0.81	0.70	1.03	0.83	0.87	1.30	1.19	1.22	2.03	1.37
"Frozen fish and shellfish"	0.39	0.55	0.62	0.56	0.64	0.59	0.84	0.72	1.34	0.87
"Eggs"	0.54	0.65	0.69	0.64	0.71	0.75	0.83	0.92	1.02	0.84
"Dairy products"	5.17	5.03	5.26	4.99	6.01	5.91	6.99	7.74	11.10	7.81
"Fresh milk and cream"	1.91	2.20	1.98	2.01	2.31	2.32	2.51	2.77	3.64	2.77
"Fresh milk, all types"	1.73	2.06	1.79	1.81	2.04	2.08	2.20	2.43	3.15	2.44
"Cream"	0.17	0.15	0.19	0.20	0.26	0.24	0.31	0.34	0.49	0.33
"Other dairy products"	3.26	2.83	3.28	2.98	3.70	3.59	4.48	4.97	7.46	5.04
"Butter"	0.28	0.31	0.29	0.23	0.32	0.31	0.44	0.44	0.57	0.42
"Cheese"	1.50	1.33	1.73	1.43	1.88	1.85	2.18	2.59	3.79	2.56
"Ice cream and related products"	0.88	0.78	0.73	0.72	0.85	0.80	1.18	1.12	1.78	1.20
"Miscellaneous dairy products"	0.60	0.41	0.53	0.60	0.66	0.63	0.68	0.83	1.32	0.87
"Fruits and vegetables"	8.29	7.29	8.44	8.00	10.09	9.72	11.08	12.68	17.85	12.62
"Fresh fruits"	2.59	2.33	2.58	2.64	3.32	3.21	3.73	4.10	6.16	4.22
"Apples"	0.42	0.47	0.34	0.44	0.56	0.52	0.60	0.69	1.04	0.71
"Bananas"	0.49	0.38	0.47	0.44	0.53	0.56	0.59	0.60	0.86	0.64
"Oranges"	0.27	0.20	0.34	0.21	0.39	0.44	0.46	0.50	0.62	0.47
"Citrus fruits, excluding oranges"	0.23	0.20	0.27	0.25	0.30	0.28	0.34	0.38	0.53	0.38
"Other fresh fruits"	1.17	1.09	1.15	1.30	1.54	1.40	1.75	1.93	3.11	2.04
"Fresh vegetables"	2.26	2.28	2.50	2.40	3.29	2.97	3.53	3.96	5.85	4.02
"Potatoes"	0.45	0.44	0.48	0.46	0.61	0.51	0.67	0.74	0.97	0.71
"Lettuce"	0.29	0.33	0.30	0.27	0.38	0.38	0.45	0.51	0.76	0.51
"Tomatoes"	0.38	0.46	0.54	0.43	0.61	0.49	0.66	0.68	0.95	0.69
"Other fresh vegetables"	1.14	1.05	1.18	1.24	1.68	1.58	1.75	2.04	3.17	2.11
"Processed fruits"	1.78	1.24	1.73	1.58	1.81	1.82	1.84	2.32	3.12	2.27
"Frozen fruits and fruit juices"	0.10	0.12	0.12	0.17	0.19	0.19	0.17	0.19	0.33	0.22
"Frozen orange juice"	0.06	0.03	0.05	0.04	0.05	0.04	0.04	0.05	0.08	0.05
"Frozen fruits"	0.02	0.04	0.04	0.08	0.10	0.11	0.11	0.09	0.18	0.12
"Frozen fruit juices"	0.02	0.06	0.03	0.04	0.04	0.04	0.03	0.05	0.08	0.05
"Canned fruits"	0.23	0.14	0.39	0.31	0.34	0.32	0.33	0.43	0.51	0.39
"Dried fruit"	0.11	0.05	0.10	0.15	0.14	0.16	0.15	0.13	0.23	0.16
"Fresh fruit juice"	0.48	0.17	0.28	0.26	0.23	0.31	0.30	0.36	0.54	0.37
"Canned and bottled fruit juice"	0.86	0.76	0.84	0.69	0.91	0.84	0.89	1.22	1.52	1.12
"Processed vegetables"	1.67	1.44	1.63	1.38	1.67	1.72	1.97	2.29	2.73	2.11
"Frozen vegetables"	0.52	0.41	0.50	0.39	0.53	0.48	0.64	0.74	0.92	0.68
"Canned and dried vegetables and juices"	1.15	1.03	1.13	0.99	1.14	1.24	1.32	1.55	1.80	1.43
"Canned beans"	0.31	0.19	0.25	0.18	0.23	0.23	0.28	0.34	0.40	0.30
"Canned corn"	0.17	0.10	0.11	0.08	0.09	0.12	0.12	0.12	0.15	0.12
"Canned miscellaneous vegetables"	0.22	0.35	0.32	0.29	0.38	0.38	0.39	0.50	0.59	0.45
"Dried peas"	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01
"Dried beans"	0.06	0.07	0.07	0.04	0.08	0.08	0.07	0.10	0.08	0.08
"Dried miscellaneous vegetables"	0.16	0.10	0.14	0.17	0.16	0.16	0.20	0.19	0.20	0.18
"Dried processed vegetables"	0.00	0.02	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
"Frozen vegetable juices"	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.01
"Fresh and canned vegetable juices"	0.22	0.19	0.22	0.21	0.18	0.25	0.25	0.30	0.38	0.28
"Other food at home"	15.44	14.31	19.18	15.58	19.98	19.45	22.23	24.58	34.80	24.90
"Sugar and other sweets"	1.81	1.61	1.66	1.51	2.13	2.25	2.37	2.61	3.90	2.70
"Candy and chewing gum"	1.02	0.87	0.87	0.86	1.16	1.41	1.37	1.61	2.52	1.66
"Sugar"	0.35	0.31	0.39	0.22	0.40	0.32	0.40	0.37	0.38	0.36
"Artificial sweeteners"	0.03	0.08	0.03	0.04	0.11	0.09	0.07	0.14	0.18	0.12
"Jams, preserves, other sweets"	0.41	0.35	0.38	0.39	0.46	0.44	0.53	0.50	0.82	0.57
"Fats and oils"	1.39	1.08	1.49	1.22	1.70	1.72	1.80	1.89	2.65	1.97
"Margarine"	0.12	0.07	0.12	0.14	0.14	0.13	0.14	0.16	0.20	0.16
"Fats and oils"	0.68	0.39	0.62	0.38	0.67	0.65	0.61	0.63	0.86	0.69
"Salad dressings"	0.30	0.30	0.39	0.36	0.42	0.48	0.50	0.53	0.77	0.55
"Nondairy cream and imitation milk"	0.14	0.20	0.19	0.18	0.25	0.26	0.31	0.32	0.43	0.31
"Peanut butter"	0.15	0.12	0.16	0.16	0.22	0.21	0.24	0.25	0.39	0.27
"Miscellaneous foods"	8.05	7.30	11.23	8.61	10.80	10.44	12.18	13.47	19.49	13.75
"Frozen prepared foods"	2.13	1.47	1.76	2.14	2.42	2.44	2.60	2.92	3.75	2.84
"Frozen meals"	0.96	0.60	0.83	1.20	1.13	1.12	1.22	1.31	1.76	1.33
"Other frozen prepared foods"	1.17	0.87	0.93	0.94	1.30	1.32	1.38	1.61	1.99	1.51
"Canned and packaged soups"	0.73	0.56	0.66	0.52	0.74	0.71	0.78	0.91	1.26	0.90
"Potato chips, nuts, and other snacks"	1.44	1.53	1.73	1.73	2.05	2.09	2.64	2.88	4.18	2.84
"Potato chips and other snacks"	1.13	1.09	1.26	1.22	1.50	1.50	1.93	2.11	3.09	2.08
"Nuts"	0.31	0.44	0.48	0.50	0.55	0.59	0.71	0.76	1.09	0.76
"Condiments and seasonings"	1.46	1.33	1.43	1.34	1.96	1.86	2.29	2.55	3.64	2.50
"Salt, spices, other seasonings"	0.37	0.28	0.36	0.27	0.45	0.53	0.54	0.63	0.86	0.60
"Olives, pickles, relishes"	0.14	0.20	0.14	0.17	0.20	0.24	0.31	0.27	0.46	0.30
"Sauces and gravies"	0.66	0.61	0.61	0.64	0.82	0.72	0.95	1.11	1.54	1.06
"Baking needs and miscellaneous products"	0.29	0.25	0.32	0.25	0.49	0.37	0.50	0.53	0.77	0.53
"Other canned and packaged prepared foods"	2.29	2.40	5.64	2.89	3.63	3.33	3.87	4.21	6.67	4.67
"Prepared salads"	0.26	0.28	0.35	0.31	0.47	0.45	0.59	0.62	1.01	0.64
"Prepared desserts"	0.19	0.14	0.26	0.17	0.25	0.20	0.22	0.27	0.34	0.26
"Baby food"	0.25	0.53	0.35	0.49	0.78	0.51	0.62	0.54	0.81	0.63
"Miscellaneous prepared foods"	1.51	1.44	4.69	1.85	2.13	2.10	2.44	2.78	4.41	3.08
"Vitamin supplements"	0.09	0.02	0.00	0.06	0.00	0.08	0.00	0.01	0.09	0.05
"Nonalcoholic beverages"	4.20	4.32	4.80	4.24	5.36	5.04	5.88	6.61	8.76	6.47
"Cola"	1.27	1.40	1.53	1.13	1.51	1.45	1.41	1.79	2.09	1.69
"Other carbonated drinks"	0.70	0.55	0.88	0.69	0.94	0.75	0.81	0.93	1.21	0.95
"Tea"	0.34	0.29	0.41	0.29	0.45	0.38	0.50	0.58	0.83	0.57
"Coffee"	0.48	0.62	0.75	0.76	0.79	0.89	0.93	1.09	1.64	1.11
"Roasted coffee"	0.36	0.39	0.51	0.48	0.52	0.61	0.61	0.75	1.09	0.74
"Instant and freeze dried coffee"	0.12	0.22	0.25	0.27	0.27	0.28	0.32	0.34	0.55	0.37
"Noncarbonated fruit flavored drinks, including"	0.33	0.42	0.29	0.48	0.48	0.33	0.34	0.51	0.59	0.47
"Other noncarbonated beverages and ice"	0.11	0.18	0.16	0.09	0.20	0.17	0.23	0.28	0.35	0.25
"Bottled water"	0.77	0.70	0.54	0.67	0.77	0.81	1.14	1.08	1.57	1.09
"Sports drinks"	0.18	0.16	0.24	0.14	0.21	0.25	0.54	0.34	0.47	0.34
"Nonalcoholic beer"	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"Food away from home"	24.04	14.76	17.04	16.43	24.72	29.67	33.84	44.15	69.69	42.09
"Meals at restaurants (except on trips)"	24.04	14.76	17.04	16.43	24.72	29.67	33.84	44.15	69.69	42.09
"Lunch"	7.51	4.40	6.08	6.49	8.11	9.92	11.49	14.61	23.31	14.10
"Lunch at fast food, take-out, delivery, concession"	3.95	2.94	3.59	3.11	4.09	5.18	5.93	7.43	10.53	6.82
"Lunch at full service restaurants"	2.46	1.00	2.08	2.76	3.22	3.86	4.57	5.44	9.54	5.57
"Lunch at vending machines and mobile vendors"	0.18	0.06	0.10	0.15	0.10	0.13	0.12	0.13	0.27	0.17
"Lunch at employer and school cafeterias"	0.92	0.40	0.31	0.46	0.70	0.74	0.88	1.60	2.98	1.54
"Dinner"	11.29	6.72	7.67	6.83	11.55	13.12	15.54	21.27	35.10	20.39
"Dinner at fast food, take-out, delivery, concession"	3.96	3.16	3.43	2.77	4.25	5.09	5.97	8.00	10.04	6.74
"Dinner at full service restaurants"	6.53	3.35	4.10	3.96	7.15	7.88	9.45	13.03	24.88	13.45
"Dinner at vending machines and mobile vendors"	0.04	0.02	0.04	0.03	0.06	0.07	0.07	0.05	0.05	0.05
"Dinner at employer and school cafeterias"	0.75	0.19	0.11	0.06	0.08	0.08	0.05	0.19	0.13	0.14
"Snacks and nonalcoholic beverages"	2.24	1.95	1.38	1.43	1.94	2.71	2.89	3.46	4.86	3.23
"Snacks and nonalcoholic beverages at fast food,"	1.70	1.26	0.95	0.88	1.15	1.50	1.77	2.29	3.35	2.12
"Snacks and nonalcoholic beverages at full service"	0.22	0.35	0.24	0.26	0.32	0.67	0.63	0.57	0.87	0.59
"Snacks and nonalcoholic beverages at vending"	0.23	0.26	0.15	0.26	0.37	0.44	0.42	0.48	0.49	0.41
"Snacks and nonalcoholic beverages at employer and"	0.08	0.09	0.03	0.02	0.10	0.09	0.08	0.12	0.15	0.11
"Breakfast and brunch"	3.00	1.68	1.91	1.69	3.13	3.92	3.92	4.82	6.41	4.38
"Breakfast and brunch at fast food, take-out,"	2.01	1.03	1.10	0.87	1.65	1.87	2.05	2.37	3.28	2.25
"Breakfast and brunch at full service restaurants"	0.74	0.55	0.77	0.76	1.34	1.85	1.66	1.95	2.75	1.85
"Breakfast and brunch at vending machines and mobile"	0.02	0.07	0.01	0.01	0.02	0.07	0.11	0.08	0.05	0.05
"Breakfast and brunch at employer and school"	0.24	0.04	0.04	0.04	0.12	0.12	0.10	0.42	0.33	0.22
"Alcoholic beverages"	4.46	3.40	3.08	1.80	4.18	5.33	5.67	7.57	13.04	7.56
"At home"	3.12	2.64	2.11	1.25	2.87	3.30	3.29	4.76	8.00	4.73
"Beer and ale"	1.57	1.73	1.19	0.63	1.90	1.55	2.16	2.41	3.13	2.22
"Whiskey"	0.21	0.00	0.09	0.07	0.13	0.23	0.11	0.25	0.28	0.20
"Wine"	1.20	0.77	0.52	0.41	0.73	1.27	0.80	1.81	3.88	1.95
"Other alcoholic beverages"	0.14	0.14	0.31	0.15	0.12	0.26	0.21	0.29	0.72	0.38
"Away from home"	1.34	0.77	0.97	0.55	1.31	2.03	2.38	2.81	5.05	2.83
"Beer and ale"	0.53	0.33	0.60	0.25	0.88	1.23	1.28	1.49	2.06	1.34
"Beer and ale at fast food, take-out, delivery,"	0.09	0.08	0.18	0.06	0.13	0.15	0.14	0.23	0.44	0.24
"Beer and ale at full service restaurants"	0.45	0.25	0.42	0.18	0.72	1.04	1.12	1.21	1.60	1.07
"Beer and ale at vending machines and mobile vendors"	0.00	0.00	0.00	0.00	0.02	0.05	0.02	0.04	0.02	0.02
"Beer at employer"	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
"Wine"	0.20	0.05	0.18	0.05	0.15	0.30	0.43	0.53	1.25	0.60
"Wine at fast food, take-out, delivery, concession"	0.00	0.00	0.00	0.00	0.01	0.04	0.01	0.03	0.07	0.03
"Wine at full service restaurants"	0.20	0.03	0.18	0.05	0.14	0.26	0.41	0.50	1.18	0.56
"Wine at vending machines and mobile vendors"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"Wine at employer"	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"Other alcoholic beverages"	0.60	0.40	0.19	0.25	0.28	0.49	0.67	0.79	1.74	0.89
"Other alcoholic beverages at fast food, take-out,"	0.00	0.15	0.07	0.03	0.02	0.18	0.08	0.09	0.14	0.10
"Other alcoholic beverages at full service restaurants"	0.60	0.24	0.12	0.22	0.26	0.31	0.59	0.69	1.60	0.79
"Other alcoholic beverages at vending machines and"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
"Other alcohol at employer"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"Housing"	53.19	42.54	56.63	52.28	64.08	73.60	78.09	88.09	126.38	87.71
"Fuel and utilities"	41.73	32.39	43.67	39.39	48.56	54.12	59.21	63.20	80.52	60.97
"Electricity and natural gas"	21.56	19.05	25.44	22.91	26.23	31.00	31.90	32.48	44.57	33.45
"Electricity"	14.45	14.77	20.04	17.00	19.60	22.78	25.23	23.75	31.67	24.52
"Natural gas"	7.11	4.28	5.39	5.91	6.63	8.21	6.67	8.73	12.90	8.93
"Fuel oil and other fuels"	4.44	1.15	1.30	2.66	3.75	3.19	4.25	4.79	5.95	4.30
"Fuel oil"	3.18	0.41	0.06	1.10	1.44	1.14	2.09	1.92	2.31	1.73
"Bottled and tank gas"	0.68	0.35	1.01	1.26	1.63	1.45	1.60	2.04	2.38	1.77
"Coal"	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.02
"Miscellaneous fuels"	0.58	0.38	0.22	0.31	0.49	0.60	0.56	0.84	1.26	0.78
"Telephone services"	15.72	12.20	16.94	13.81	18.58	19.94	23.07	25.93	30.00	23.22
"Household operations"	0.00	0.00	0.00	0.31	0.00	0.31	0.11	0.06	0.10	0.10
"Other household expenses"	0.00	0.00	0.00	0.31	0.00	0.31	0.11	0.06	0.10	0.10
"Repair of miscellaneous household equipment and"	0.00	0.00	0.00	0.31	0.00	0.31	0.11	0.06	0.10	0.10
"Housekeeping supplies"	6.08	5.31	7.03	7.46	9.60	9.50	10.38	12.14	19.58	12.67
"Laundry and cleaning supplies"	1.92	1.96	2.17	2.18	2.60	2.33	2.61	2.87	4.11	3.00
"Soaps and detergents"	1.21	1.02	1.25	1.34	1.36	1.38	1.40	1.66	2.18	1.65
"Other laundry cleaning products"	0.71	0.94	0.92	0.84	1.24	0.95	1.20	1.22	1.93	1.35
"Other household products"	2.65	2.49	3.07	3.46	5.05	5.31	5.64	6.47	11.21	6.92
"Cleansing and toilet tissue, paper towels and napkins"	1.26	1.10	1.56	1.39	1.74	1.81	2.05	2.29	2.79	2.13
"Miscellaneous household products"	1.27	1.07	1.18	1.24	1.60	1.95	2.10	2.45	4.47	2.65
"Lawn and garden supplies"	0.11	0.32	0.33	0.82	1.71	1.55	1.49	1.73	3.95	2.14
"Postage and stationery"	1.51	0.86	1.79	1.82	1.95	1.85	2.13	2.80	4.26	2.75
"Stationery, stationery supplies, giftwrap"	1.05	0.45	0.44	0.75	1.03	0.78	1.12	1.44	2.41	1.44
"Postage"	0.37	0.39	1.23	1.07	0.89	1.00	0.99	1.29	1.73	1.24
"Delivery services"	0.09	0.02	0.13	0.01	0.03	0.07	0.03	0.07	0.12	0.08
"Household furnishings and equipment"	5.39	4.85	5.92	5.13	5.92	9.67	8.39	12.69	26.19	13.96
"Household textiles"	0.76	0.76	1.04	0.52	0.72	1.02	1.34	2.25	3.15	1.84
"Bathroom linens"	0.05	0.25	0.35	0.15	0.15	0.31	0.24	0.48	0.51	0.35
"Bedroom linens"	0.64	0.42	0.54	0.29	0.43	0.61	1.01	1.62	2.37	1.31
"Kitchen and dining room linens"	0.07	0.09	0.02	0.04	0.12	0.10	0.08	0.10	0.19	0.12
"Slipcovers, decorative pillows"	0.00	0.00	0.14	0.05	0.02	0.01	0.01	0.05	0.09	0.05
"Furniture"	0.18	0.00	0.08	0.45	0.11	0.10	0.07	0.50	0.66	0.36
"Outdoor furniture"	0.18	0.00	0.08	0.45	0.11	0.10	0.07	0.50	0.66	0.36
"Floor coverings"	0.00	0.07	0.09	0.03	0.13	0.65	0.07	0.48	1.35	0.61
"Room size rugs and other floor covering, nonpermanent"	0.00	0.07	0.09	0.03	0.13	0.65	0.07	0.48	1.35	0.61
"Major appliances"	0.00	0.47	0.43	0.04	0.28	0.13	0.73	0.29	1.02	0.54
"Electric floor cleaning equipment"	0.00	0.45	0.43	0.04	0.25	0.11	0.62	0.23	0.75	0.43
"Sewing machines"	0.00	0.00	0.00	0.00	0.00	0.01	0.09	0.00	0.01	0.01
"Miscellaneous household appliances"	0.00	0.02	0.00	0.00	0.03	0.01	0.02	0.06	0.25	0.10
"Small appliances, miscellaneous housewares"	1.04	0.66	0.60	0.99	0.65	0.51	1.24	1.14	2.05	1.25
"Housewares"	0.93	0.55	0.54	0.87	0.53	0.47	0.86	0.98	1.84	1.08
"China and other dinnerware"	0.09	0.05	0.04	0.01	0.04	0.07	0.05	0.13	0.16	0.09
"Glassware"	0.00	0.03	0.12	0.05	0.03	0.06	0.14	0.19	0.48	0.22
"Silver serving pieces"	0.00	0.05	0.00	0.09	0.03	0.04	0.07	0.05	0.08	0.06
"Nonelectric cookware"	0.30	0.21	0.14	0.23	0.16	0.07	0.25	0.21	0.42	0.26
