title	Inclass01	Inclass02	Inclass03	Inclass04	Inclass05	Inclass06	Inclass07	Inclass08	Inclass09	Inclass10
Canned and bottled fruit juice	0.90	0.78	0.70	0.74	0.78	0.95	0.94	1.21	1.57	1.13
Processed vegetables	1.42	1.17	1.25	1.48	1.70	1.86	1.87	2.06	2.74	2.05
Frozen vegetables	0.54	0.34	0.32	0.42	0.51	0.51	0.64	0.69	0.92	0.66
Canned and dried vegetables and juices	0.89	0.83	0.93	1.06	1.19	1.35	1.23	1.37	1.82	1.39
Canned beans	0.17	0.18	0.16	0.24	0.19	0.27	0.28	0.30	0.36	0.28
Canned corn	0.11	0.09	0.11	0.13	0.15	0.11	0.13	0.13	0.14	0.13
Canned miscellaneous vegetables	0.31	0.15	0.22	0.31	0.33	0.38	0.34	0.41	0.58	0.41
Dried peas	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01
Dried beans	0.02	0.09	0.07	0.07	0.08	0.10	0.06	0.06	0.08	0.08
Dried miscellaneous vegetables	0.12	0.13	0.11	0.11	0.17	0.18	0.20	0.20	0.24	0.19
Dried processed vegetables	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.00	0.01	0.01
Frozen vegetable juices	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.01	0.01	0.01
Fresh and canned vegetable juices	0.16	0.17	0.26	0.19	0.25	0.29	0.21	0.24	0.38	0.28
Other food at home	15.90	13.39	14.63	16.08	17.34	20.18	22.03	24.66	34.04	24.15
Sugar and other sweets	1.68	1.15	1.54	1.76	1.88	2.08	2.32	2.44	3.49	2.49
Candy and chewing gum	0.93	0.53	0.95	0.96	1.13	1.25	1.45	1.46	2.26	1.54
Sugar	0.29	0.23	0.25	0.39	0.33	0.30	0.37	0.39	0.35	0.34
Artificial sweeteners	0.14	0.14	0.03	0.10	0.06	0.11	0.11	0.13	0.18	0.12
Jams, preserves, other sweets	0.32	0.25	0.31	0.31	0.36	0.42	0.38	0.47	0.70	0.48
Fats and oils	1.35	1.27	1.52	1.75	1.53	1.83	1.86	1.99	2.61	2.01
Margarine	0.13	0.13	0.13	0.17	0.16	0.16	0.14	0.18	0.19	0.17
Fats and oils	0.57	0.52	0.58	0.71	0.61	0.78	0.65	0.72	0.96	0.76
Salad dressings	0.22	0.34	0.33	0.43	0.40	0.44	0.56	0.51	0.70	0.52
Nondairy cream and imitation milk	0.21	0.12	0.37	0.24	0.21	0.26	0.25	0.35	0.40	0.31
Peanut butter	0.22	0.15	0.12	0.20	0.14	0.19	0.26	0.23	0.35	0.25
Miscellaneous foods	8.18	7.26	7.47	8.09	9.00	10.57	11.98	13.43	18.88	13.07
Frozen prepared foods	1.67	1.52	1.66	1.90	2.01	2.43	2.50	2.71	3.73	2.70
Frozen meals	0.73	0.68	0.88	1.05	1.13	1.30	1.34	1.32	1.92	1.40
Other frozen prepared foods	0.94	0.84	0.78	0.84	0.88	1.13	1.16	1.38	1.81	1.30
Canned and packaged soups	0.56	0.51	0.58	0.64	0.65	0.91	0.84	0.80	1.19	0.88
Potato chips, nuts, and other snacks	1.81	1.28	1.25	1.49	1.73	2.14	2.39	2.91	4.03	2.70
Potato chips and other snacks	1.12	0.93	0.95	1.09	1.20	1.55	1.74	2.22	2.97	1.98
Nuts	0.70	0.34	0.30	0.40	0.53	0.59	0.65	0.69	1.06	0.72
Condiments and seasonings	1.47	1.28	1.29	1.45	1.48	1.84	2.11	2.68	3.42	2.37
Salt, spices, other seasonings	0.36	0.34	0.45	0.31	0.34	0.46	0.51	0.61	0.79	0.56
Olives, pickles, relishes	0.14	0.07	0.10	0.20	0.19	0.21	0.21	0.29	0.38	0.26
Sauces and gravies	0.65	0.57	0.40	0.67	0.66	0.84	0.94	1.13	1.55	1.04
Baking needs and miscellaneous products	0.33	0.30	0.34	0.27	0.29	0.33	0.44	0.65	0.69	0.50
Other canned and packaged prepared foods	2.67	2.68	2.69	2.61	3.11	3.24	4.14	4.33	6.51	4.42
Prepared salads	0.46	0.30	0.44	0.46	0.49	0.47	0.65	0.65	1.06	0.70
Prepared desserts	0.16	0.16	0.12	0.17	0.18	0.19	0.22	0.31	0.34	0.25
Baby food	0.25	0.26	0.31	0.27	0.30	0.44	0.56	0.76	1.09	0.66
Miscellaneous prepared foods	1.80	1.96	1.72	1.70	2.05	2.13	2.71	2.61	3.98	2.78
Vitamin supplements	0.00	0.00	0.10	0.01	0.09	0.02	0.00	0.00	0.04	0.03
Nonalcoholic beverages	4.69	3.70	4.10	4.49	4.93	5.70	5.88	6.81	9.05	6.59
Cola	1.18	0.97	1.19	1.11	1.19	1.49	1.37	1.73	2.08	1.59
Other carbonated drinks	0.68	0.63	0.63	0.63	0.81	0.88	0.89	1.00	1.30	0.98
Tea	0.44	0.32	0.29	0.46	0.44	0.55	0.57	0.61	0.87	0.62
Coffee	0.84	0.49	0.78	0.70	0.83	0.76	0.74	1.04	1.32	0.98
Roasted coffee	0.60	0.33	0.50	0.47	0.52	0.49	0.48	0.69	0.91	0.66
Instant and freeze dried coffee	0.24	0.16	0.28	0.23	0.31	0.27	0.26	0.34	0.41	0.32
Noncarbonated fruit flavored drinks, including	0.31	0.40	0.30	0.38	0.44	0.48	0.58	0.52	0.70	0.54
Other noncarbonated beverages and ice	0.16	0.10	0.10	0.17	0.19	0.23	0.39	0.27	0.38	0.27
Bottled water	0.87	0.59	0.69	0.74	0.74	0.96	1.07	1.15	1.75	1.18
Sports drinks	0.22	0.20	0.13	0.28	0.27	0.33	0.27	0.47	0.65	0.42
Nonalcoholic beer	0.00	0.01	0.00	0.01	0.02	0.01	0.00	0.02	0.01	0.01
Food away from home	23.01	17.66	17.88	18.33	25.03	32.53	35.68	43.58	71.24	43.39
Meals at restaurants (except on trips)	23.01	17.66	17.88	18.33	25.03	32.53	35.68	43.58	71.24	43.39
Lunch	6.29	6.88	6.91	6.43	8.32	11.19	12.22	15.21	24.21	14.86
Lunch at fast food, take-out, delivery, concession	3.50	3.22	3.95	3.48	4.91	6.20	6.69	8.02	11.18	7.46
Lunch at full service restaurants	2.00	3.09	2.54	2.38	2.89	3.81	4.35	5.29	9.86	5.67
Lunch at vending machines and mobile vendors	0.02	0.06	0.14	0.18	0.12	0.16	0.20	0.23	0.22	0.18
Lunch at employer and school cafeterias	0.78	0.51	0.28	0.38	0.40	1.02	0.98	1.67	2.96	1.55
Dinner	12.82	7.48	7.62	8.48	11.90	14.99	15.64	19.91	35.13	20.67
Dinner at fast food, take-out, delivery, concession	3.64	3.40	2.51	3.47	4.72	5.70	5.84	6.79	9.78	6.58
Dinner at full service restaurants	8.70	3.78	4.90	4.93	7.07	9.02	9.54	12.64	25.17	13.85
Dinner at vending machines and mobile vendors	0.02	0.00	0.05	0.00	0.05	0.10	0.12	0.05	0.07	0.06
Dinner at employer and school cafeterias	0.46	0.30	0.17	0.07	0.06	0.17	0.14	0.45	0.10	0.18
Snacks and nonalcoholic beverages	1.84	1.55	1.30	1.33	1.95	2.79	3.57	3.73	5.17	3.41
Snacks and nonalcoholic beverages at fast food,	0.97	1.12	0.77	0.88	1.15	1.79	1.95	2.15	3.42	2.13
Snacks and nonalcoholic beverages at full service	0.53	0.11	0.18	0.15	0.38	0.48	0.89	0.69	0.89	0.62
Snacks and nonalcoholic beverages at vending	0.25	0.27	0.31	0.21	0.34	0.39	0.69	0.72	0.67	0.53
Snacks and nonalcoholic beverages at employer and	0.10	0.04	0.04	0.09	0.07	0.13	0.05	0.17	0.20	0.13
Breakfast and brunch	2.06	1.74	2.04	2.09	2.86	3.56	4.25	4.73	6.73	4.44
Breakfast and brunch at fast food, take-out,	0.81	0.90	0.88	1.15	1.64	1.82	2.10	2.10	3.43	2.22
Breakfast and brunch at full service restaurants	1.01	0.63	0.97	0.76	1.13	1.58	1.76	2.19	2.92	1.92
Breakfast and brunch at vending machines and mobile	0.02	0.01	0.04	0.05	0.04	0.08	0.10	0.10	0.08	0.07
Breakfast and brunch at employer and school	0.22	0.20	0.15	0.14	0.06	0.07	0.28	0.34	0.29	0.22
Alcoholic beverages	4.89	3.24	3.41	2.43	4.12	5.74	6.68	7.99	12.79	7.77
At home	2.91	1.97	2.35	1.73	2.51	3.49	3.49	5.03	7.79	4.73
Beer and ale	1.67	1.22	1.02	1.21	1.49	2.29	2.05	2.81	3.25	2.35
Whiskey	0.07	0.02	0.22	0.06	0.02	0.10	0.06	0.32	0.41	0.22
Wine	0.99	0.49	0.63	0.28	0.72	0.67	1.22	1.43	3.34	1.68
Other alcoholic beverages	0.19	0.23	0.48	0.18	0.28	0.44	0.16	0.47	0.79	0.48
Away from home	1.98	1.27	1.07	0.70	1.61	2.24	3.19	2.97	5.00	3.04
Beer and ale	1.06	0.53	0.59	0.40	0.71	0.97	1.71	1.43	2.14	1.38
Beer and ale at fast food, take-out, delivery,	0.42	0.03	0.07	0.06	0.12	0.19	0.27	0.25	0.34	0.23
Beer and ale at full service restaurants	0.64	0.50	0.52	0.34	0.58	0.75	1.37	1.17	1.77	1.13
Beer and ale at vending machines and mobile vendors	0.00	0.00	0.01	0.00	0.01	0.03	0.06	0.01	0.02	0.02
Beer at employer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Wine	0.40	0.42	0.35	0.10	0.24	0.37	0.40	0.54	1.37	0.69
Wine at fast food, take-out, delivery, concession	0.00	0.02	0.01	0.01	0.02	0.01	0.02	0.06	0.05	0.03
Wine at full service restaurants	0.40	0.40	0.34	0.09	0.22	0.36	0.38	0.48	1.31	0.65
Wine at vending machines and mobile vendors	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
Wine at employer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Other alcoholic beverages	0.52	0.32	0.12	0.20	0.67	0.90	1.08	1.00	1.48	0.97
Other alcoholic beverages at fast food, take-out,	0.02	0.03	0.00	0.00	0.06	0.06	0.06	0.04	0.09	0.06
Other alcoholic beverages at full service restaurants	0.50	0.30	0.12	0.18	0.61	0.84	1.02	0.95	1.39	0.91
Other alcoholic beverages at vending machines and	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.01	0.01	0.00
Other alcohol at employer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Housing	44.36	44.21	53.42	62.16	69.81	80.88	86.02	92.84	132.40	92.99
Fuel and utilities	31.95	34.72	39.25	48.14	54.63	61.27	61.79	62.89	85.65	64.47
Electricity and natural gas	17.20	20.84	22.11	27.96	27.11	32.32	34.21	33.72	45.07	34.34
Electricity	12.07	16.62	16.99	19.66	19.31	23.60	25.47	25.24	31.20	24.66
Natural gas	5.13	4.22	5.12	8.30	7.80	8.71	8.74	8.48	13.87	9.68
Fuel oil and other fuels	2.13	1.67	2.54	4.66	9.44	8.61	5.84	3.94	9.44	6.91
Fuel oil	0.03	1.33	0.72	3.00	5.97	5.72	2.82	2.00	4.96	3.83
Bottled and tank gas	1.79	0.13	1.42	1.34	2.38	1.98	1.80	1.16	3.12	2.10
Coal	0.04	0.10	0.12	0.00	0.17	0.06	0.23	0.33	0.52	0.28
Miscellaneous fuels	0.28	0.11	0.29	0.33	0.92	0.85	1.00	0.45	0.85	0.70
Telephone services	12.62	12.21	14.60	15.51	18.08	20.34	21.75	25.23	31.14	23.22
Household operations	0.00	0.11	0.00	0.00	0.00	0.01	0.00	0.02	0.06	0.03
Other household expenses	0.00	0.11	0.00	0.00	0.00	0.01	0.00	0.02	0.06	0.03
Repair of miscellaneous household equipment and	0.00	0.11	0.00	0.00	0.00	0.01	0.00	0.02	0.06	0.03
Housekeeping supplies	5.94	5.39	8.07	7.46	8.52	9.91	10.24	12.11	19.37	12.58
Laundry and cleaning supplies	1.65	1.79	2.21	1.85	2.16	2.54	2.52	2.87	3.85	2.84
Soaps and detergents	1.01	1.06	1.27	1.09	1.28	1.48	1.49	1.50	2.00	1.56
Other laundry cleaning products	0.65	0.73	0.93	0.76	0.88	1.06	1.04	1.36	1.85	1.28
Other household products	2.64	2.73	3.97	3.86	3.75	5.06	5.16	6.33	11.11	6.74
Cleansing and toilet tissue, paper towels and napkins	0.94	1.34	1.55	1.56	1.62	1.91	1.80	2.03	2.59	2.01
Miscellaneous household products	1.35	1.04	1.41	1.63	1.50	1.93	2.13	2.93	4.73	2.84
Lawn and garden supplies	0.35	0.35	1.02	0.67	0.62	1.22	1.23	1.36	3.79	1.89
Postage and stationery	1.65	0.88	1.89	1.75	2.62	2.30	2.56	2.91	4.41	3.00
Stationery, stationery supplies, giftwrap	0.65	0.35	0.59	0.77	1.04	1.07	1.11	1.69	2.62	1.57
Postage	0.94	0.51	1.28	0.93	1.52	1.18	1.40	1.17	1.64	1.35
Delivery services	0.06	0.02	0.03	0.06	0.06	0.05	0.05	0.05	0.14	0.08
Household furnishings and equipment	6.48	3.98	6.10	6.56	6.65	9.70	13.99	17.84	27.32	15.91
Household textiles	1.54	0.52	0.80	0.98	1.22	1.18	1.31	1.64	3.10	1.83
Bathroom linens	0.27	0.07	0.32	0.36	0.37	0.35	0.36	0.33	0.63	0.42
Bedroom linens	1.25	0.39	0.41	0.52	0.79	0.73	0.89	1.01	2.10	1.20
Kitchen and dining room linens	0.02	0.03	0.06	0.09	0.04	0.08	0.06	0.12	0.22	0.12
Slipcovers, decorative pillows	0.00	0.03	0.02	0.01	0.02	0.03	0.00	0.19	0.15	0.09
Furniture	0.08	0.03	0.03	0.10	0.06	0.13	0.56	0.40	1.21	0.54
Outdoor furniture	0.08	0.03	0.03	0.10	0.06	0.13	0.56	0.40	1.21	0.54
Floor coverings	0.10	0.10	0.11	0.20	0.12	0.24	0.29	4.27	1.40	1.21
Room size rugs and other floor covering, nonpermanent	0.10	0.10	0.11	0.20	0.12	0.24	0.29	4.27	1.40	1.21
Major appliances	1.04	0.59	0.13	0.32	0.21	0.23	0.39	0.71	1.09	0.63
Electric floor cleaning equipment	1.04	0.07	0.13	0.00	0.06	0.18	0.26	0.57	1.04	0.52
Sewing machines	0.00	0.47	0.00	0.32	0.14	0.00	0.05	0.00	0.02	0.07
Miscellaneous household appliances	0.00	0.04	0.00	0.00	0.01	0.05	0.07	0.13	0.03	0.05
Small appliances, miscellaneous housewares	0.48	0.36	0.95	0.48	0.92	1.21	1.61	1.48	2.80	1.65
Housewares	0.48	0.31	0.33	0.35	0.70	1.13	1.09	1.24	2.53	1.39
China and other dinnerware	0.01	0.03	0.03	0.06	0.10	0.19	0.38	0.24	0.31	0.21
Glassware	0.02	0.02	0.09	0.03	0.26	0.34	0.14	0.26	0.64	0.34
Nonelectric cookware	0.22	0.07	0.10	0.11	0.05	0.26	0.14	0.27	0.49	0.27
Tableware, nonelectric kitchenware	0.22	0.19	0.11	0.16	0.29	0.34	0.43	0.47	1.10	0.57
Small appliances	0.00	0.04	0.62	0.12	0.22	0.08	0.52	0.25	0.27	0.26
Portable heating and cooling equipment	0.00	0.04	0.62	0.12	0.22	0.08	0.52	0.25	0.27	0.26
Miscellaneous household equipment	3.23	2.39	4.08	4.49	4.13	6.72	9.82	9.34	17.71	10.05
Infants' equipment	0.00	0.10	0.24	0.18	0.07	0.28	0.08	0.40	0.82	0.40
Laundry and cleaning equipment	0.19	0.17	0.24	0.15	0.17	0.16	0.21	0.33	0.50	0.31
Outdoor equipment	0.11	0.12	0.16	0.08	0.14	0.51	0.49	0.58	1.23	0.63
Lamps and lighting fixtures	0.04	0.12	0.31	0.41	0.33	0.34	0.51	0.62	0.89	0.56
Clocks and other household decorative items	0.68	0.54	0.63	0.60	1.20	1.67	3.41	1.83	4.27	2.44
Telephones and accessories	0.71	0.25	0.26	0.77	0.39	0.58	0.48	0.72	1.49	0.84
Lawn and garden equipment	0.26	0.10	1.12	1.28	0.21	0.72	1.18	1.21	2.16	1.26
Power tools	0.48	0.00	0.26	0.23	0.43	0.55	0.56	0.59	0.72	0.53
