title	Inclass01	Inclass02	Inclass03	Inclass04	Inclass05	Inclass06	Inclass07	Inclass08	Inclass09	Inclass10
Bread and cracker products	0.09	0.10	0.08	0.07	0.14	0.11	0.12	0.14	0.21	0.14
Sweetrolls, coffee cakes, doughnuts	0.18	0.24	0.27	0.36	0.35	0.47	0.42	0.41	0.55	0.43
Pies, tarts, turnovers	0.18	0.23	0.22	0.21	0.20	0.25	0.29	0.34	0.45	0.31
Meats, poultry, fish, and eggs	8.32	10.07	9.70	11.33	11.75	12.63	14.79	15.65	20.55	15.08
Beef	1.97	2.73	2.45	3.00	3.09	3.25	4.36	4.53	5.76	4.17
Ground beef	0.94	1.40	1.12	1.35	1.44	1.45	1.80	1.79	1.91	1.63
Roast	0.13	0.26	0.26	0.42	0.41	0.46	0.52	0.50	0.90	0.57
Chuck roast	0.08	0.07	0.05	0.14	0.13	0.19	0.15	0.15	0.19	0.15
Round roast	0.02	0.09	0.03	0.05	0.08	0.07	0.15	0.08	0.18	0.11
Other roast	0.03	0.10	0.18	0.23	0.20	0.21	0.22	0.27	0.53	0.30
Steak	0.76	0.73	0.78	0.96	0.97	1.07	1.65	1.73	2.43	1.58
Round steak	0.14	0.26	0.10	0.19	0.25	0.24	0.28	0.49	0.47	0.34
Sirloin steak	0.17	0.27	0.17	0.26	0.20	0.30	0.43	0.30	0.72	0.41
Other steak	0.46	0.20	0.51	0.51	0.53	0.53	0.94	0.94	1.24	0.83
Other beef	0.14	0.34	0.29	0.26	0.26	0.27	0.39	0.50	0.52	0.39
Pork	1.93	1.63	1.89	2.15	2.47	2.42	3.12	3.01	3.67	2.87
Bacon	0.41	0.40	0.50	0.48	0.54	0.51	0.60	0.66	0.75	0.61
Pork chops	0.37	0.29	0.25	0.42	0.42	0.40	0.53	0.48	0.55	0.46
Ham	0.28	0.25	0.39	0.47	0.52	0.52	0.80	0.62	0.78	0.61
Ham, not canned	0.25	0.25	0.36	0.45	0.51	0.52	0.78	0.61	0.77	0.60
Canned ham	0.03	0.00	0.03	0.02	0.01	0.00	0.02	0.01	0.01	0.01
Sausage	0.33	0.32	0.32	0.43	0.51	0.38	0.51	0.52	0.63	0.50
Other pork	0.53	0.38	0.43	0.35	0.48	0.61	0.68	0.73	0.96	0.68
Other meats	1.20	1.44	1.43	1.73	1.63	1.89	2.03	2.47	3.12	2.25
Frankfurters	0.29	0.32	0.34	0.37	0.38	0.45	0.48	0.44	0.62	0.47
Lunch meats (cold cuts)	0.80	0.88	0.98	1.21	1.16	1.29	1.34	1.71	2.24	1.57
Bologna, liverwurst, salami	0.22	0.37	0.31	0.39	0.40	0.42	0.43	0.56	0.61	0.48
Other lunchmeats	0.58	0.51	0.68	0.82	0.76	0.87	0.92	1.15	1.63	1.09
Lamb, organ meats and others	0.10	0.25	0.11	0.15	0.08	0.15	0.20	0.33	0.27	0.21
Lamb and organ meats	0.10	0.25	0.08	0.14	0.08	0.14	0.18	0.18	0.20	0.16
Mutton, goat and game	0.00	0.00	0.03	0.01	0.00	0.01	0.02	0.15	0.07	0.05
Poultry	1.47	1.91	1.91	2.19	2.17	2.33	2.53	2.67	3.50	2.66
Fresh and frozen chickens	1.20	1.73	1.58	1.94	1.71	1.84	2.06	2.11	2.72	2.12
Fresh and frozen whole chicken	0.26	0.56	0.45	0.48	0.48	0.52	0.55	0.56	0.71	0.57
Fresh and frozen chicken parts	0.94	1.16	1.13	1.46	1.23	1.32	1.51	1.55	2.01	1.55
Other poultry	0.27	0.18	0.34	0.25	0.46	0.49	0.47	0.56	0.78	0.54
Fish and seafood	1.05	1.75	1.35	1.53	1.62	1.88	1.94	2.07	3.38	2.25
Canned fish and seafood	0.24	0.38	0.22	0.28	0.32	0.33	0.34	0.39	0.53	0.39
Fresh fish and shellfish	0.48	0.71	0.54	0.62	0.68	0.82	0.82	1.00	1.74	1.06
Frozen fish and shellfish	0.33	0.65	0.59	0.63	0.63	0.73	0.78	0.69	1.11	0.80
Eggs	0.71	0.60	0.66	0.74	0.77	0.85	0.80	0.90	1.12	0.89
Dairy products	4.33	4.32	4.25	4.87	5.70	5.88	6.70	7.45	10.57	7.32
Fresh milk and cream	1.74	1.67	1.76	2.13	2.26	2.35	2.50	2.77	3.64	2.71
Fresh milk, all types	1.57	1.47	1.57	1.84	1.97	2.03	2.17	2.40	3.07	2.33
Cream	0.17	0.20	0.19	0.29	0.29	0.32	0.32	0.37	0.57	0.38
Other dairy products	2.59	2.65	2.49	2.75	3.44	3.53	4.20	4.68	6.92	4.61
Butter	0.26	0.27	0.24	0.31	0.36	0.34	0.39	0.40	0.66	0.44
Cheese	1.29	1.26	1.19	1.37	1.52	1.70	2.12	2.22	3.37	2.22
Ice cream and related products	0.53	0.60	0.63	0.59	0.85	0.83	0.99	1.13	1.48	1.04
Miscellaneous dairy products	0.50	0.51	0.42	0.48	0.71	0.65	0.70	0.93	1.41	0.90
Fruits and vegetables	7.33	7.34	7.92	8.77	10.21	11.26	11.33	12.74	19.07	13.07
Fresh fruits	2.41	2.25	2.54	2.92	3.55	3.63	3.46	4.13	6.92	4.47
Apples	0.40	0.37	0.44	0.43	0.51	0.58	0.54	0.71	1.12	0.72
Bananas	0.40	0.41	0.50	0.64	0.67	0.73	0.62	0.78	1.09	0.79
Oranges	0.23	0.28	0.29	0.42	0.46	0.37	0.45	0.42	0.66	0.48
Citrus fruits, excluding oranges	0.38	0.37	0.34	0.35	0.47	0.56	0.50	0.56	0.90	0.60
Other fresh fruits	1.01	0.81	0.97	1.08	1.43	1.39	1.36	1.66	3.15	1.88
Fresh vegetables	2.36	2.34	2.46	2.71	3.07	3.54	3.60	3.97	5.86	4.05
Potatoes	0.35	0.46	0.52	0.44	0.51	0.70	0.57	0.74	0.95	0.69
Lettuce	0.30	0.39	0.34	0.38	0.49	0.52	0.51	0.59	0.80	0.58
Tomatoes	0.39	0.45	0.42	0.58	0.65	0.69	0.76	0.72	1.03	0.76
Other fresh vegetables	1.32	1.05	1.19	1.30	1.42	1.63	1.76	1.93	3.08	2.02
Processed fruits	1.28	1.27	1.29	1.50	1.57	1.88	1.96	2.20	3.12	2.17
Frozen fruits and fruit juices	0.09	0.16	0.13	0.18	0.15	0.22	0.20	0.25	0.38	0.25
Frozen orange juice	0.03	0.05	0.03	0.05	0.05	0.06	0.07	0.05	0.11	0.07
Frozen fruits	0.06	0.07	0.08	0.09	0.07	0.13	0.07	0.14	0.20	0.13
Frozen fruit juices	0.00	0.04	0.03	0.04	0.03	0.04	0.06	0.05	0.07	0.05
Canned fruits	0.26	0.23	0.24	0.27	0.31	0.30	0.37	0.39	0.57	0.39
Dried fruit	0.04	0.10	0.08	0.09	0.09	0.13	0.13	0.15	0.26	0.16
Fresh fruit juice	0.21	0.20	0.23	0.26	0.29	0.32	0.30	0.37	0.54	0.37
Canned and bottled fruit juice	0.68	0.58	0.61	0.70	0.74	0.91	0.95	1.05	1.37	1.00
Processed vegetables	1.28	1.48	1.64	1.64	2.01	2.22	2.31	2.44	3.16	2.38
Frozen vegetables	0.32	0.39	0.47	0.43	0.54	0.62	0.85	0.67	0.93	0.70
Canned and dried vegetables and juices	0.96	1.08	1.17	1.21	1.46	1.60	1.46	1.77	2.23	1.69
Canned beans	0.25	0.24	0.22	0.22	0.28	0.31	0.29	0.33	0.45	0.33
Canned corn	0.07	0.11	0.13	0.11	0.18	0.15	0.18	0.22	0.22	0.18
Canned miscellaneous vegetables	0.24	0.23	0.32	0.33	0.46	0.41	0.45	0.52	0.68	0.50
Dried peas	0.02	0.00	0.00	0.01	0.01	0.02	0.01	0.03	0.02	0.01
Dried beans	0.07	0.12	0.07	0.10	0.09	0.11	0.07	0.11	0.10	0.10
Dried miscellaneous vegetables	0.15	0.19	0.19	0.17	0.17	0.25	0.17	0.24	0.32	0.24
Dried processed vegetables	0.02	0.01	0.02	0.04	0.03	0.04	0.03	0.03	0.04	0.03
Frozen vegetable juices	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.00
Fresh and canned vegetable juices	0.13	0.18	0.21	0.23	0.24	0.30	0.25	0.29	0.38	0.29
Other food at home	13.82	14.04	15.19	16.67	18.13	19.86	23.25	24.50	33.01	23.74
Sugar and other sweets	1.44	1.66	1.58	1.77	2.01	2.03	2.39	2.63	3.56	2.54
Candy and chewing gum	0.71	0.74	0.87	0.92	1.17	1.00	1.43	1.61	2.20	1.49
Sugar	0.43	0.37	0.33	0.40	0.38	0.45	0.42	0.43	0.51	0.44
Artificial sweeteners	0.03	0.08	0.11	0.11	0.09	0.12	0.11	0.11	0.11	0.10
Jams, preserves, other sweets	0.27	0.47	0.28	0.34	0.37	0.46	0.43	0.48	0.74	0.51
Fats and oils	1.16	1.27	1.28	1.50	1.62	1.66	2.00	1.99	2.65	1.97
Margarine	0.12	0.15	0.15	0.12	0.18	0.17	0.24	0.17	0.23	0.19
Fats and oils	0.34	0.52	0.41	0.60	0.56	0.48	0.62	0.57	0.77	0.61
Salad dressings	0.30	0.31	0.33	0.37	0.39	0.49	0.55	0.60	0.77	0.55
Nondairy cream and imitation milk	0.17	0.11	0.21	0.25	0.28	0.28	0.30	0.36	0.44	0.33
Peanut butter	0.23	0.18	0.19	0.17	0.20	0.23	0.29	0.30	0.43	0.30
Miscellaneous foods	7.30	7.22	7.99	8.93	9.29	10.34	12.34	13.24	18.36	12.82
Frozen prepared foods	1.47	1.13	1.81	2.06	2.07	2.27	2.46	2.61	3.39	2.54
Frozen meals	0.60	0.50	0.80	0.96	1.04	0.86	1.20	1.20	1.59	1.17
Other frozen prepared foods	0.87	0.63	1.01	1.10	1.03	1.41	1.26	1.40	1.80	1.37
Canned and packaged soups	0.52	0.49	0.58	0.54	0.70	0.63	0.76	0.79	1.14	0.81
Potato chips, nuts, and other snacks	1.22	1.32	1.49	1.47	1.69	2.00	2.31	2.57	3.97	2.56
Potato chips and other snacks	1.07	1.02	1.04	1.06	1.31	1.55	1.73	1.96	2.90	1.91
Nuts	0.15	0.30	0.45	0.41	0.39	0.45	0.57	0.60	1.06	0.65
Condiments and seasonings	1.31	1.43	1.47	1.74	1.60	2.00	2.20	2.60	3.51	2.42
Salt, spices, other seasonings	0.44	0.53	0.38	0.42	0.43	0.55	0.52	0.65	0.89	0.62
Olives, pickles, relishes	0.16	0.14	0.20	0.27	0.19	0.20	0.23	0.30	0.43	0.29
Sauces and gravies	0.45	0.51	0.59	0.67	0.62	0.82	1.03	1.14	1.46	1.01
Baking needs and miscellaneous products	0.26	0.26	0.30	0.38	0.36	0.43	0.43	0.52	0.74	0.50
Other canned and packaged prepared foods	2.78	2.85	2.64	3.12	3.23	3.45	4.61	4.68	6.36	4.49
Prepared salads	0.46	0.23	0.37	0.43	0.44	0.53	0.64	0.71	1.04	0.68
Prepared desserts	0.21	0.27	0.25	0.27	0.23	0.28	0.26	0.29	0.45	0.32
Baby food	0.14	0.52	0.46	0.54	0.44	0.54	0.81	0.84	0.68	0.62
Miscellaneous prepared foods	1.97	1.79	1.54	1.86	2.10	2.09	2.90	2.82	4.09	2.82
Vitamin supplements	0.00	0.03	0.01	0.02	0.02	0.01	0.00	0.02	0.10	0.04
Nonalcoholic beverages	3.92	3.88	4.34	4.46	5.21	5.84	6.52	6.64	8.45	6.41
Cola	1.05	0.95	1.18	1.17	1.28	1.51	1.58	1.58	1.68	1.47
Other carbonated drinks	0.68	0.70	0.88	0.74	0.88	1.03	1.24	1.14	1.31	1.08
Tea	0.26	0.33	0.31	0.43	0.44	0.48	0.57	0.59	0.77	0.56
Coffee	0.61	0.77	0.65	0.80	0.87	1.00	1.10	1.18	1.64	1.16
Roasted coffee	0.41	0.45	0.37	0.40	0.53	0.60	0.68	0.72	1.07	0.72
Instant and freeze dried coffee	0.20	0.32	0.28	0.39	0.34	0.40	0.42	0.46	0.57	0.44
Noncarbonated fruit flavored drinks, including	0.40	0.38	0.23	0.34	0.39	0.37	0.48	0.46	0.63	0.47
Other noncarbonated beverages and ice	0.15	0.18	0.16	0.16	0.25	0.26	0.26	0.26	0.43	0.29
Bottled water	0.58	0.43	0.74	0.67	0.79	0.85	0.96	1.00	1.41	1.00
Sports drinks	0.19	0.14	0.19	0.14	0.30	0.31	0.32	0.42	0.54	0.37
Nonalcoholic beer	0.00	0.00	0.00	0.00	0.01	0.03	0.00	0.01	0.03	0.02
Food away from home	21.49	15.24	15.54	19.82	20.50	31.18	35.91	42.57	66.43	40.02
Meals at restaurants (except on trips)	21.49	15.24	15.54	19.82	20.50	31.18	35.91	42.57	66.43	40.02
Lunch	6.93	5.69	6.29	7.79	7.42	11.17	12.57	14.74	22.66	13.97
Lunch at fast food, take-out, delivery, concession	3.33	3.45	3.45	4.08	4.11	5.47	6.67	7.26	10.21	6.76
Lunch at full service restaurants	2.23	1.85	2.46	3.03	2.62	4.09	4.58	5.26	9.61	5.48
Lunch at vending machines and mobile vendors	0.10	0.05	0.04	0.09	0.11	0.17	0.20	0.17	0.20	0.15
Lunch at employer and school cafeterias	1.27	0.35	0.34	0.59	0.59	1.45	1.12	2.05	2.65	1.58
Dinner	9.58	6.37	6.39	8.55	9.10	13.90	16.73	19.89	32.92	18.98
Dinner at fast food, take-out, delivery, concession	3.93	2.80	2.84	3.91	3.78	5.22	6.63	7.16	9.44	6.37
Dinner at full service restaurants	4.91	3.16	3.44	4.59	5.17	8.49	9.89	12.58	23.29	12.41
Dinner at vending machines and mobile vendors	0.05	0.01	0.02	0.01	0.07	0.08	0.05	0.08	0.05	0.05
Dinner at employer and school cafeterias	0.70	0.40	0.09	0.04	0.09	0.11	0.16	0.07	0.14	0.14
Snacks and nonalcoholic beverages	2.06	1.33	1.11	1.30	1.65	2.53	2.48	3.29	4.82	2.99
Snacks and nonalcoholic beverages at fast food,	1.04	0.92	0.71	0.85	0.98	1.49	1.61	2.26	3.28	1.97
Snacks and nonalcoholic beverages at full service	0.35	0.17	0.16	0.20	0.32	0.52	0.35	0.59	0.93	0.55
Snacks and nonalcoholic beverages at vending	0.52	0.19	0.21	0.22	0.28	0.40	0.43	0.34	0.43	0.36
Snacks and nonalcoholic beverages at employer and	0.15	0.05	0.02	0.04	0.07	0.11	0.09	0.09	0.19	0.11
Breakfast and brunch	2.92	1.84	1.75	2.17	2.33	3.58	4.12	4.65	6.03	4.08
Breakfast and brunch at fast food, take-out,	1.34	1.15	1.06	1.26	1.38	1.95	2.16	2.21	3.08	2.13
Breakfast and brunch at full service restaurants	0.85	0.61	0.62	0.67	0.80	1.42	1.58	2.03	2.52	1.63
Breakfast and brunch at vending machines and mobile	0.14	0.01	0.01	0.05	0.04	0.04	0.08	0.06	0.09	0.06
Breakfast and brunch at employer and school	0.59	0.08	0.05	0.19	0.11	0.17	0.31	0.36	0.34	0.26
Alcoholic beverages	4.28	2.36	2.36	2.95	3.15	5.38	5.77	7.90	12.29	7.10
At home	2.58	1.38	1.73	2.02	1.77	3.05	3.41	4.76	7.38	4.26
Beer and ale	1.81	0.81	0.95	1.15	0.88	1.58	1.71	2.52	2.98	1.98
Whiskey	0.02	0.03	0.12	0.06	0.23	0.17	0.15	0.42	0.31	0.23
Wine	0.45	0.35	0.58	0.69	0.50	1.02	1.24	1.34	3.50	1.69
Other alcoholic beverages	0.30	0.20	0.07	0.12	0.17	0.28	0.31	0.48	0.59	0.36
Away from home	1.70	0.97	0.63	0.93	1.38	2.33	2.36	3.13	4.91	2.84
Beer and ale	1.02	0.53	0.37	0.39	0.65	1.00	1.19	1.51	1.86	1.21
Beer and ale at fast food, take-out, delivery,	0.10	0.25	0.12	0.05	0.08	0.17	0.18	0.29	0.29	0.20
Beer and ale at full service restaurants	0.89	0.28	0.25	0.33	0.57	0.78	1.00	1.21	1.53	0.99
Beer and ale at vending machines and mobile vendors	0.02	0.00	0.00	0.00	0.01	0.04	0.01	0.01	0.03	0.02
Beer at employer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Wine	0.15	0.10	0.12	0.25	0.21	0.45	0.35	0.59	1.33	0.64
Wine at fast food, take-out, delivery, concession	0.00	0.00	0.00	0.01	0.02	0.04	0.04	0.04	0.10	0.05
Wine at full service restaurants	0.15	0.10	0.12	0.24	0.20	0.41	0.31	0.55	1.23	0.59
Wine at vending machines and mobile vendors	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Other alcoholic beverages	0.53	0.34	0.13	0.30	0.51	0.89	0.82	1.04	1.72	0.99
Other alcoholic beverages at fast food, take-out,	0.11	0.07	0.01	0.01	0.05	0.03	0.08	0.19	0.14	0.10
Other alcoholic beverages at full service restaurants	0.42	0.27	0.12	0.29	0.46	0.85	0.74	0.85	1.58	0.89
Other alcoholic beverages at vending machines and	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Other alcohol at employer	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Housing	47.01	44.98	50.17	55.58	65.13	68.23	80.03	91.86	119.66	84.60
Fuel and utilities	35.20	33.13	39.15	42.51	50.88	49.55	59.85	68.69	76.46	59.55
Electricity and natural gas	24.24	20.72	23.79	24.68	27.95	27.07	32.07	35.48	40.91	32.44
Electricity	18.32	15.68	19.07	21.36	22.31	21.43	23.43	26.09	30.34	24.66
Natural gas	5.92	5.04	4.72	3.32	5.64	5.64	8.65	9.39	10.57	7.78
Fuel oil and other fuels	2.46	2.05	2.86	2.05	4.97	4.66	2.66	5.66	6.99	4.89
Fuel oil	0.31	0.15	1.47	0.39	2.29	2.63	0.98	2.80	3.89	2.43
Bottled and tank gas	1.30	1.39	0.73	1.35	1.56	1.20	0.93	1.82	1.50	1.39
Coal	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.03	0.02
Miscellaneous fuels	0.84	0.52	0.66	0.31	1.04	0.83	0.75	1.04	1.57	1.05
Telephone services	8.50	10.35	12.50	15.78	17.95	17.82	25.11	27.55	28.56	22.22
Household operations	0.00	0.00	0.00	0.00	0.00	0.46	0.02	0.31	0.01	0.11
Other household expenses	0.00	0.00	0.00	0.00	0.00	0.46	0.02	0.31	0.01	0.11
Repair of miscellaneous household equipment and	0.00	0.00	0.00	0.00	0.00	0.46	0.02	0.31	0.01	0.11
Housekeeping supplies	5.69	6.41	6.60	7.03	8.21	8.43	10.49	11.41	18.56	11.76
Laundry and cleaning supplies	2.20	2.05	1.93	1.88	2.26	2.32	2.78	2.90	4.01	2.89
Soaps and detergents	1.14	1.12	1.16	1.12	1.33	1.28	1.56	1.64	2.06	1.58
Other laundry cleaning products	1.05	0.93	0.78	0.76	0.93	1.04	1.22	1.26	1.95	1.31
Other household products	2.56	2.54	3.36	3.73	4.39	4.38	5.60	6.17	10.28	6.33
Cleansing and toilet tissue, paper towels and napkins	1.31	1.06	1.52	1.67	1.62	1.65	2.08	1.89	2.65	1.99
Miscellaneous household products	1.01	1.11	1.12	1.26	1.77	1.72	2.09	2.32	4.20	2.49
Lawn and garden supplies	0.24	0.36	0.72	0.80	1.00	1.01	1.43	1.96	3.43	1.85
Postage and stationery	0.93	1.82	1.30	1.42	1.56	1.73	2.11	2.35	4.27	2.54
Stationery, stationery supplies, giftwrap	0.35	1.03	0.51	0.86	0.84	0.88	1.02	1.28	2.51	1.41
Postage	0.56	0.78	0.76	0.56	0.71	0.77	1.07	1.02	1.65	1.08
Delivery services	0.02	0.01	0.03	0.00	0.01	0.08	0.02	0.05	0.11	0.06
Household furnishings and equipment	6.12	5.45	4.42	6.05	6.05	9.79	9.68	11.44	24.63	13.18
Household textiles	0.39	1.10	0.70	0.81	0.81	0.69	0.85	1.19	2.61	1.40
Bathroom linens	0.18	0.42	0.19	0.22	0.33	0.23	0.22	0.33	0.56	0.36
Bedroom linens	0.19	0.68	0.50	0.52	0.37	0.37	0.51	0.72	1.75	0.88
Kitchen and dining room linens	0.02	0.01	0.01	0.06	0.10	0.08	0.10	0.06	0.22	0.11
Slipcovers, decorative pillows	0.00	0.00	0.00	0.02	0.01	0.01	0.02	0.08	0.08	0.04
Furniture	0.86	0.00	0.13	0.64	0.09	0.38	0.66	0.26	0.89	0.51
Outdoor furniture	0.86	0.00	0.13	0.64	0.09	0.38	0.66	0.26	0.89	0.51
Floor coverings	0.28	0.19	0.13	0.50	0.16	0.19	0.27	0.37	1.50	0.64
Room size rugs and other floor covering, nonpermanent	0.28	0.19	0.13	0.50	0.16	0.19	0.27	0.37	1.50	0.64
Major appliances	0.26	0.32	0.07	0.48	0.14	0.74	0.67	0.94	1.38	0.79
Electric floor cleaning equipment	0.20	0.32	0.07	0.19	0.11	0.43	0.44	0.87	0.93	0.56
Sewing machines	0.00	0.00	0.00	0.29	0.00	0.16	0.00	0.00	0.09	0.07
Miscellaneous household appliances	0.06	0.00	0.00	0.00	0.03	0.15	0.23	0.07	0.35	0.16
Small appliances, miscellaneous housewares	0.39	0.60	0.51	0.61	0.66	1.88	1.03	1.47	2.44	1.48
Housewares	0.34	0.53	0.46	0.59	0.52	0.90	0.60	1.08	2.06	1.12
China and other dinnerware	0.02	0.01	0.02	0.03	0.02	0.17	0.11	0.11	0.29	0.14
Glassware	0.03	0.02	0.06	0.16	0.10	0.13	0.14	0.29	0.30	0.19
Silver serving pieces	0.01	0.00	0.01	0.02	0.01	0.02	0.01	0.01	0.04	0.02
Nonelectric cookware	0.16	0.04	0.27	0.25	0.18	0.26	0.09	0.25	0.55	0.31
Tableware, nonelectric kitchenware	0.13	0.45	0.09	0.12	0.20	0.33	0.24	0.41	0.88	0.45
Small appliances	0.05	0.07	0.06	0.03	0.15	0.99	0.44	0.39	0.38	0.36
Portable heating and cooling equipment	0.05	0.07	0.06	0.03	0.15	0.99	0.44	0.39	0.38	0.36
Miscellaneous household equipment	3.94	3.23	2.90	3.01	4.17	5.91	6.20	7.22	15.81	8.37
Infants' equipment	0.13	0.01	0.02	0.49	0.12	0.19	0.23	0.22	0.61	0.32
Laundry and cleaning equipment	0.29	0.20	0.15	0.16	0.30	0.33	0.32	0.34	0.48	0.34
Outdoor equipment	0.55	0.09	0.03	0.25	0.35	0.16	0.39	0.50	1.48	0.67
Lamps and lighting fixtures	0.24	0.17	0.04	0.02	0.18	0.22	0.35	0.33	0.89	0.42
Clocks and other household decorative items	0.62	1.16	0.53	0.62	0.68	1.74	0.92	1.43	3.99	1.95
Telephones and accessories	0.42	0.10	0.16	0.33	0.15	0.33	0.66	0.71	1.14	0.63
Lawn and garden equipment	0.06	0.08	0.42	0.14	0.53	0.68	0.86	0.44	1.23	0.71
Power tools	0.76	0.28	0.32	0.18	0.51	0.77	0.52	0.97	1.10	0.75
